PERSON,"graham norton",get,TIME,"last night",19,"[ ""Great comment by Clive Tyldesley in FACup final bout Drogba 'Graham Norton got inside him last night'""]"
ORGANIZATION,liverpool,win,DATE,tomorrow,15,"[ ""this if you want Liverpool to win tomorrow."" , ""facup lfc""]"
PERSON,chelsea,win,DATE,now,10,"[ ""Chelsea have now won 17 major trophies."" , ""We've caught Tottenham who are on the same total."" , ""CFCWembley FACu .""]"
PERSON,kenny,win,NUMBER,28,8,"[ ""To CFC you have won 22 trophies in your history."" , ""Kenny has won 28 alone.""]"
PERSON,ramirez,be,NUMBER,one,7,"[ ""RAmirez has bay far been one of our brightest stars this year game in game out."" , ""ComeOnCFC""]"
PERSON,"roberto di matteo",be,DATE,now,5,"[ ""Roberto Di Matteo is now 4/7 to get the Chelsea job on a permanent basis."" , ""Done deal."" , ""CFC""]"
NUMBER,one,down,NUMBER,one,4,"[ ""one down one to go."" , ""KTBFFH."" , ""CFC""]"
PERSON,"ashley cole",have,DATE,now,4,"[ ""Ashley Cole now has more facup medals than affairs on Cheryl 7."" , ""Or is it other way round?""]"
MISC,"fa cup",winner,DATE,"2011 2012",3,"[ ""FA Cup Winners 2011 2012."" , ""Champions League 2011 2012To Be Crowned."" , ""Congrats Fellas""]"
NUMBER,5,add,DURATION,minutes,3,"[ ""5 added minutes."" , ""FACup""]"
ORGANIZATION,chelsea,lead,NUMBER,"2 0",3,"[ ""DROGBA!"" , ""Chelsea leads 2 0 in the 52nd minute!"" , ""FACup""]"
ORGANIZATION,chelsea,win,NUMBER,"3 1",3,"[ ""got a bet: Chelsea to win 3 1 and Torres to score last FaCupFinal""]"
PERSON,"jose bosingwa",make,DATE,today,3,"[ ""Jose Bosingwa is making his 100th domestic appearance for Chelsea today."" , ""CFC""]"
PERSON,"didier drogba",score,DATE,now,3,"[ ""Didier Drogba has now scored in his last 4 FA Cup finalsIn 2006/07, 2007/08, 2009/10, 2011/12."" , ""CFC""]"
PERSON,bellamy,start,DATE,today,3,"[ ""So, no Carroll upfront today, Bellamy starts instead and thankfully Skrtel and Agger partnership at the back LFC BringItHome""]"
PERSON,reina,put,ORGANIZATION,cfc,3,"[ ""GOOOOOOOOALLL!"" , ""Ramires beats Reina to put CFC 1 0 up at Wembley FACupFinal""]"
PERSON,"graham norton",be,TIME,"last night",3,"[ ""Did he just say Graham Norton was inside Didier Drogba last night?"" , ""lfc cfc facupfinal""]"
DATE,today,be,DATE,day,2,"[ ""Today is the day."" , ""Liverpool/Chelsea FA Cup Final."" , ""Let's hope for a great game and an LFC victory."" , ""YNWA.""]"
DATE,today,be,DURATION,day,2,"[ ""Today has been a day of miracles."" , ""Chelsea win facup after terrible season and Andy Carroll plays his best so far this season and scores.""]"
ORGANIZATION,liverpool,"be made",DATE,now,2,"[ ""Having now made Wembley 'a home from home' on their 3rd visit this season, Liverpool produce display worthy of Anfield 2011/12."" , ""facupfinal""]"
ORGANIZATION,cfc,behave,DATE,"this year",2,"[ ""The cup final is normally 'graced' by the 2 teams,with the way LFC and CFC have behaved this year,it is shamed by them."" , ""Not a good message.""]"
ORGANIZATION,lfc,need,DATE,now,2,"[ ""I walked through 40 degree Dubai heat to reach a bar to watch this match."" , ""LFC now need to demonstrate same level of perspiration.""]"
ORGANIZATION,lfc,turn,DATE,today,2,"[ ""Really hope that LFC actually turn up today."" , ""Big performances needed across the pitch""]"
ORGANIZATION,liverpool,wake,DATE,now,2,"[ ""Edge of the seat time now that Liverpool have woken up and scored facup""]"
ORGANIZATION,liverpool,"be losing",NUMBER,0:2,2,"[ ""liverpool losing 0:2 to chelsea in fa cup finals."" , ""CFC""]"
ORGANIZATION,lfc,sell,PERSON,reina,2,"[ ""LFC should sell Reina, he's lost it."" , ""quite funny really after he got Ward sent off 18 months ago."" , ""The guy's a clown.""]"
PERSON,carroll,come,DATE,now,2,"[ ""Always thogh Carroll would come good, now he has n we should keep him n make him progress next season LFC""]"
PERSON,andy,deserve,DATE,today,2,"[ ""Andy deserves hero status today."" , ""Another one and he has it."" , ""LFC""]"
PERSON,"juan mata",get,DATE,today,2,"[ ""El Magico!"" , ""Juan Mata got his 19th assist of the season today."" , ""CFC""]"
PERSON,gerard,play,DATE,today,2,"[ ""Is Gerard playing today?""]"
