"",be,"",1958,"[ ""“Leehaynesuk: Do I watch the FACUP final on ESPN or ITV?"" , ""Like choosing between severe toothache or a migraine."" , ""Both will be painful!""]"
"",get,"",251,"[ ""“@haqiwibowo: YEEEEEAAAAAAAHHHHHH!"" , ""We Got It!"" , ""KTBFFH!"" , ""wohoooooooooo!"" , ""Great Mentality by Chelsea!""]"
"",win,"",243,"[ ""“@da1seggy: Is Jordan Henderson a real football player, or did he win some kind of competition?"" , ""facup LOL""]"
"",do,"",232,"[ ""yes well done Chelsea!"" , ""FACupFinal""]"
"",have,"",225,"[ ""“@JackMaddox91: Drowning my sorrows tonight LFC you must have to that every week""]"
"",go,"",224,"[ ""“@shaun77w: Here we go."" , ""FA Cup in 3D!"" , ""FACup hahaha class pal!""]"
"",come,"",196,"[ ""wish you could come back to xabi."" , ""Wish you hadnt left YNWA""]"
PERSON,be,"",193,"[ ""we have been great last 25mins but poor 1st half cost us."" , ""kenny's fault for team selection."" , ""lfc facupfinal""]"
"",need,"",142,"[ ""we seriously need this trophy."" , ""chelsea ups""]"
"",play,"",127,"[ ""“@monographed: Absolutely gutted."" , ""Can see us losing reina thus summer."" , ""lfc fingers crossed."" , ""He should play for a top 4 side, not top 10!""]"
"",want,"",103,"[ ""“@HermioneTheSlut: I just want to run on the pitch naked and put the ball up my vag."" , ""FACupFinal yes hermione""]"
"",make,"",94,"[ ""winning this would make my dad's birthday legit."" , ""Goodluckk blues!"" , ""CFC""]"
"",walk,"",93,"[ ""���Walk on, walk on, with hope in your hearts, you'll never walk alone you all singing ComeOnReds YNWA LFC""]"
"",love,"",92,"[ ""“@LewisMartins: GOOOOOOOOOOOOOOOOOOOAAAAL."" , ""that was quick wasn't it."" , ""insightfulfootballknoweldge facupfinal I love you sometimes""]"
"",look,"",90,"[ ""“@Bolton0301: Jay Spearing doesn't look happy after being subbed."" , ""FACupFinal LFC CFC""]"
"",score,"",78,"[ ""yeah!"" , ""score on Chelsea CFC FACT""]"
"",start,"",67,"[ ""“@LFCtransfernews: Liverpool have never lost to Chelsea when bosingwa has started the game for rentboys."" , ""LFC""]"
"",see,"",61,"[ ""“@EASPORTSFIFA Retweet if you think Chelsea will see this out for the win FACupFinal""]"
ORGANIZATION,be,"",57,"[ ""“@chelseafc: Chelsea have now won 17 major trophies."" , ""We've caught Tottenham who are on the same total."" , ""CFCWembley FACupFinal SL""]"
"",take,"",56,"[ ""“@CalvinNegus: Who's that hot girl singing at the FaCup?!"" , ""hahaha your brother took his mate and not you noluck""]"
"",deserve,"",54,"[ ""yeah let's be honest, it didn't go in and the cup team deserved to lose FACupFinal""]"
PERSON,win,"",54,"[ ""yeaaayyy!"" , ""Chelsea won the FACupFinal!"" , ""good job boyssss :DDD""]"
"",kick,"",53,"[ ""“@Will_Hoe: John Terry and Luis Suarez sharing some banter in the tunnel before kick off."" , ""FACupFinal omg hahahah""]"
"",bring,"",50,"[ ""facupfinal bring it on!"" , ""Going for a 3 1 Liverpool win""]"
"",save,"",49,"[ ""ruddy would have saved that facup""]"
"",give,"",48,"[ ""my boys and you just gave Roberto Di Matteo a permanent job at CFC""]"
"",know,"",48,"[ ""youse knows better than me Andy a 5 year old knows better than you!"" , ""facupfinal itv""]"
"",lfc,"",44,"[ ""“@LivEchoLFC: What does John Henry's face say here?"" , ""lfc take the coat off you scruff""]"
"",cross,"",43,"[ ""“@zain_azhar: fucking hell it crossed the line fuck off LFC."" , ""Shushhhh!"" , ""Count to 10!"" , ""Loool angermanagement""]"
"",let,"",43,"[ ""“@aimzk1990: I wish Sky+ could let you fast forward through programmes rather than rewind FACupFinal Boring Rhinos on very soon""]"
"","be come","",42,"[ ""what is happening?"" , ""Liverpool are actually playing football and Andy Carrol is a man on a mission since hes come on FACupFinal""]"
"",watch,"",42,"[ ""“@AasmahMir: OK so I couldn't watch the game."" , ""Sum it up in one word please."" , ""excellent CFC CFCWembley facup""]"
"",keep,"",41,"[ ""why do lfc fans keep spelling yawn wrong?"" , ""facup""]"
"",say,"",41,"[ ""“@LivEchoLFC: What does John Henry's face say here?"" , ""lfc P45""]"
"",support,"",41,"[ ""you gonna lose."" , ""Just saying as I support the chels FACupFinal comeonchelsea LFC CFC CFCWembley""]"
"",feel,"",40,"[ ""this is like watching a pre season match.it DOES not feel like a final FACupFinal""]"
